	formula	smiles
A	C(3)H(5)N(1)O(1)S(0)	N([Fl])([Fl])[C@@]([H])(C)C(=O)[Ts]
B	C(1000000)
C	C(3)H(5)N(1)O(1)S(1)	N([Fl])([Fl])[C@@]([H])(CS)C(=O)[Ts]
D	C(4)H(5)N(1)O(3)S(0)	N([Fl])([Fl])[C@@]([H])(CC(=O)O)C(=O)[Ts]
E	C(5)H(7)N(1)O(3)S(0)	N([Fl])([Fl])[C@@]([H])(CCC(=O)O)C(=O)[Ts]
F	C(9)H(9)N(1)O(1)S(0)	N([Fl])([Fl])[C@@]([H])(Cc1ccccc1)C(=O)[Ts]
G	C(2)H(3)N(1)O(1)S(0)	N([Fl])([Fl])CC(=O)[Ts]
H	C(6)H(7)N(3)O(1)S(0)	N([Fl])([Fl])[C@@]([H])(CC1=CN=C-N1)C(=O)[Ts]
I	C(6)H(11)N(1)O(1)S(0)	N([Fl])([Fl])[C@@]([H])([C@]([H])(CC)C)C(=O)[Ts]
J	C(6)H(11)N(1)O(1)S(0)
K	C(6)H(12)N(2)O(1)S(0)	N([Fl])([Fl])[C@@]([H])(CCCCN)C(=O)[Ts]
L	C(6)H(11)N(1)O(1)S(0)	N([Fl])([Fl])[C@@]([H])(CC(C)C)C(=O)[Ts]
M	C(5)H(9)N(1)O(1)S(1)	N([Fl])([Fl])[C@@]([H])(CCSC)C(=O)[Ts]
N	C(4)H(6)N(2)O(2)S(0)	N([Fl])([Fl])[C@@]([H])(CC(=O)N)C(=O)[Ts]
O	C(12)H(19)N(3)O(2)	C[C@@H]1CC=N[C@H]1C(=O)NCCCC[C@@H](C(=O)[Ts])N([Fl])([Fl])
P	C(5)H(7)N(1)O(1)S(0)	N1([Fl])[C@@]([H])(CCC1)C(=O)[Ts]
Q	C(5)H(8)N(2)O(2)S(0)	N([Fl])([Fl])[C@@]([H])(CCC(=O)N)C(=O)[Ts]
R	C(6)H(12)N(4)O(1)S(0)	N([Fl])([Fl])[C@@]([H])(CCCNC(=N)N)C(=O)[Ts]
S	C(3)H(5)N(1)O(2)S(0)	N([Fl])([Fl])[C@@]([H])(CO)C(=O)[Ts]
T	C(4)H(7)N(1)O(2)S(0)	N([Fl])([Fl])[C@@]([H])([C@]([H])(O)C)C(=O)[Ts]
U	C(3)H(5)N(1)O(1)Se(1)	N([Fl])([Fl])[C@@]([H])(C[Se][H])C(=O)[Ts]
V	C(5)H(9)N(1)O(1)S(0)	N([Fl])([Fl])[C@@]([H])(C(C)C)C(=O)[Ts]
W	C(11)H(10)N(2)O(1)S(0)	N([Fl])([Fl])[C@@]([H])(CC(=CN2)C1=C2C=CC=C1)C(=O)[Ts]
X	C(1000000)
Y	C(9)H(9)N(1)O(2)S(0)	N([Fl])([Fl])[C@@]([H])(Cc1ccc(O)cc1)C(=O)[Ts]
Z	C(1000000)
s	C(3)H(5)N(1)O(2)S(0)
t	C(4)H(8)N(1)O(5)P(1)
y	C(9)H(9)N(1)O(2)S(0)
